Country,Year
Greece,1896
France,1900
United States,1904
United Kingdom,1908
Sweden,1912
Germany,1916
Belgium,1920
France,1924
Switzerland,1928
Netherlands,1928
United States,1932
Germany,1936
Germany,1940
Japan,1940
Finland,1940
Italy,1944
United Kingdom,1944
Switzerland,1948
United Kingdom,1948
Norway,1952
Finland,1952
Italy,1956
Australia,1956
Sweden,1956
United States,1960
Italy,1960
Austria,1964
Japan,1964
France,1968
Mexico,1968
Japan,1972
West Germany,1976
Austria,1976
Canada,1976
United States,1980
Soviet Union,1980
Yugoslavia,1984
United States,1984
Canada,1988
South Korea,1988
France,1992
Spain,1992
Norway,1994
United States,1996
Japan,1998
Australia,2000
United States,2002
Greece,2004
Italy,2006
China,2008
Canada,2010
United Kingdom,2012
Russia,2014
Brazil,2016
South Korea,2018
Japan,2020
China,2022
France,2024
